Reference,Account Number,Description,Start Balance,Mutation,End Balance
123887,NL32RABO0195610843,Flowers from Richard Dekker,43.42,-7.7,35.72
112806,NL91RABO0315273637,Clothes for Peter Dekker,55.84,-19,36.84
157232,NL69ABNA0433647324,Clothes from Willem Dekker,61.73,+24.76,86.49
162379,NL93ABNA0585619023,Flowers for Rik Dekker,109.88,+14.04,123.92
112806,NL91RABO0315273637,Clothes from Erik Theuß,101.29,-7.76,93.53
112806,NL27SNSB0917829871,Flowers for Daniël King,43.08,+11.98,55.06
151023,NL56RABO0149876948,Flowers from Richard Dekker,92.65,-18.91,73.74
151005,NL27SNSB0917829871,Subscription from Daniël Dekker,27.53,+36.24,63.77
186595,NL74ABNA0248990274,Flowers from Erik King,41.92,-41.73,0.19
176496,NL69ABNA0433647324,Clothes for Rik King,23.71,-31.41,-7.7
